token,sentiment,score
blessing,positive,1
blind,negative,-1
blinding,negative,-1
blindingly,negative,-1
blindside,negative,-1
bliss,positive,1
blissful,positive,1
blissfully,positive,1
blister,negative,-1
blistering,negative,-1
blithe,positive,1
bloated,negative,-1
blockage,negative,-1
blockbuster,positive,1
blockhead,negative,-1
bloodshed,negative,-1
bloodthirsty,negative,-1
bloody,negative,-1
bloom,positive,1
blossom,positive,1
blotchy,negative,-1
blow,negative,-1
blunder,negative,-1
blundering,negative,-1
blunders,negative,-1
blunt,negative,-1
blur,negative,-1
bluring,negative,-1
blurred,negative,-1
blurring,negative,-1
blurry,negative,-1
blurs,negative,-1
blurt,negative,-1
boastful,negative,-1
boggle,negative,-1
bogus,negative,-1
boil,negative,-1
boiling,negative,-1
boisterous,negative,-1
bolster,positive,1
bomb,negative,-1
bombard,negative,-1
bombardment,negative,-1
bombastic,negative,-1
bondage,negative,-1
bonkers,negative,-1
bonny,positive,1
bonus,positive,1
bonuses,positive,1
boom,positive,1
booming,positive,1
boost,positive,1
bore,negative,-1
bored,negative,-1
boredom,negative,-1
bores,negative,-1
boring,negative,-1
botch,negative,-1
bother,negative,-1
bothered,negative,-1
bothering,negative,-1
bothers,negative,-1
bothersome,negative,-1
boundless,positive,1
bountiful,positive,1
bowdlerize,negative,-1
boycott,negative,-1
braggart,negative,-1
bragger,negative,-1
brainiest,positive,1
brainless,negative,-1
brainwash,negative,-1
brainy,positive,1
brand-new,positive,1
brash,negative,-1
brashly,negative,-1
brashness,negative,-1
brat,negative,-1
bravado,negative,-1
brave,positive,1
bravery,positive,1
bravo,positive,1
brazen,negative,-1
brazenly,negative,-1
brazenness,negative,-1
breach,negative,-1
break,negative,-1
break-up,negative,-1
break-ups,negative,-1
breakdown,negative,-1
breaking,negative,-1
breaks,negative,-1
breakthrough,positive,1
breakthroughs,positive,1
breakup,negative,-1
breakups,negative,-1
breathlessness,positive,1
breathtaking,positive,1
breathtakingly,positive,1
breeze,positive,1
bribery,negative,-1
bright,positive,1
brighten,positive,1
brighter,positive,1
brightest,positive,1
brilliance,positive,1
brilliances,positive,1
